auc_roc,auc_pr,recall,precision,f1,f2,fold,threshold,opt_threshold,coin,technique,model
0.9993593850096092,0.9682539682539681,0.7142857142857143,1.0,0.8333333333333334,0.7575757575757576,0,0.5,0.6461543972245196,USDC,WeightOnly,RF
0.9906576980568012,0.6990740740740741,0.3333333333333333,1.0,0.5,0.3846153846153846,1,0.5,0.6599777034559643,USDC,WeightOnly,RF
0.9996263079222721,0.976190476190476,0.8333333333333334,1.0,0.9090909090909091,0.8620689655172415,2,0.5,0.6298435252909862,USDC,WeightOnly,RF
1.0,0.9999999999999998,0.8571428571428571,1.0,0.9230769230769231,0.8823529411764707,3,0.5,0.6360918991971855,USDC,WeightOnly,RF
1.0,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8823529411764707,4,0.5,0.6496442444573817,USDC,WeightOnly,RF
1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,0.9974424839019775,USDC,WeightOnly,XGB
0.9559043348281017,0.699585502217081,0.5,1.0,0.6666666666666666,0.5555555555555556,1,0.5,0.995919406414032,USDC,WeightOnly,XGB
1.0,1.0,1.0,1.0,1.0,1.0,2,0.5,0.9964792132377625,USDC,WeightOnly,XGB
1.0,0.9999999999999998,1.0,1.0,1.0,1.0,3,0.5,0.9975109100341797,USDC,WeightOnly,XGB
1.0,0.9999999999999998,1.0,0.875,0.9333333333333333,0.9722222222222222,4,0.5,0.9971700310707092,USDC,WeightOnly,XGB
0.9996796925048046,0.982142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,0.5,0.9999973964204961,USDC,WeightOnly,LightGBM
0.9278774289985052,0.6857157795670814,0.5,1.0,0.6666666666666666,0.5555555555555556,1,0.5,0.9999961801661532,USDC,WeightOnly,LightGBM
1.0,1.0,0.8333333333333334,1.0,0.9090909090909091,0.8620689655172415,2,0.5,0.9999958961302999,USDC,WeightOnly,LightGBM
0.9993579454253612,0.9682539682539681,0.8571428571428571,1.0,0.9230769230769231,0.8823529411764707,3,0.5,0.9999977907625108,USDC,WeightOnly,LightGBM
1.0,0.9999999999999998,1.0,1.0,1.0,1.0,4,0.5,0.9999964820460784,USDC,WeightOnly,LightGBM
0.9987187700192185,0.9093537414965986,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,0.5,0.9999948219582594,USDC,WeightOnly,SVM
0.9981315396113603,0.8773809523809524,0.3333333333333333,1.0,0.5,0.3846153846153846,1,0.5,0.9999946345263262,USDC,WeightOnly,SVM
1.0,1.0,0.3333333333333333,1.0,0.5,0.3846153846153846,2,0.5,0.9999999932697567,USDC,WeightOnly,SVM
1.0,0.9999999999999998,0.7142857142857143,1.0,0.8333333333333334,0.7575757575757576,3,0.5,0.9999930535674805,USDC,WeightOnly,SVM
1.0,0.9999999999999998,0.8571428571428571,1.0,0.9230769230769231,0.8823529411764707,4,0.5,0.9999963583233201,USDC,WeightOnly,SVM
0.9952260853900199,0.9319209620864969,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0,0.5,0.8323345155199543,DAI,ADASYN,RF
0.9970023419203746,0.9599752247752249,0.88,0.88,0.88,0.88,1,0.5,0.7880570213491742,DAI,ADASYN,RF
0.9947540983606556,0.9140372717152574,0.92,0.7419354838709677,0.8214285714285714,0.8778625954198473,2,0.5,0.8318577220056181,DAI,ADASYN,RF
0.9952224824355972,0.9273027582174351,0.92,0.7419354838709677,0.8214285714285714,0.8778625954198473,3,0.5,0.7960119920772775,DAI,ADASYN,RF
0.9950351288056205,0.9236172942411334,0.92,0.71875,0.8070175438596491,0.8712121212121213,4,0.5,0.7915795903725529,DAI,ADASYN,RF
0.9943253467843631,0.9200927850606344,0.8461538461538461,0.8148148148148148,0.8301886792452831,0.8396946564885496,0,0.5,0.9107775092124939,DAI,ADASYN,XGB
0.99615925058548,0.9464414516828311,0.84,0.8076923076923077,0.8235294117647058,0.8333333333333334,1,0.5,0.9110918045043945,DAI,ADASYN,XGB
0.994847775175644,0.9223750046636036,0.92,0.7666666666666667,0.8363636363636363,0.8846153846153846,2,0.5,0.8906289935112,DAI,ADASYN,XGB
0.9967213114754099,0.9530962368247148,0.96,0.8,0.8727272727272727,0.923076923076923,3,0.5,0.9286001920700073,DAI,ADASYN,XGB
0.9965339578454332,0.9509799274998675,0.96,0.75,0.8421052631578947,0.9090909090909091,4,0.5,0.9277465343475342,DAI,ADASYN,XGB
0.9954062331111512,0.9332053348206262,0.8076923076923077,0.84,0.8235294117647058,0.8139534883720931,0,0.5,0.9996333246970142,DAI,ADASYN,LightGBM
0.9956908665105386,0.9476875085698617,0.88,0.8461538461538461,0.8627450980392157,0.873015873015873,1,0.5,0.9994299258913549,DAI,ADASYN,LightGBM
0.9951288056206089,0.9204783097269367,0.92,0.7419354838709677,0.8214285714285714,0.8778625954198473,2,0.5,0.9996990723023813,DAI,ADASYN,LightGBM
0.9960655737704918,0.9382944043912487,0.92,0.7931034482758621,0.8518518518518519,0.8914728682170544,3,0.5,0.9995554239006453,DAI,ADASYN,LightGBM
0.9954098360655738,0.9334706429621291,0.88,0.7096774193548387,0.7857142857142857,0.8396946564885497,4,0.5,0.9992131286897995,DAI,ADASYN,LightGBM
0.9923437218519185,0.8766222479534829,0.7307692307692307,0.7916666666666666,0.76,0.7421874999999999,0,0.5,0.9489054609374159,DAI,ADASYN,SVM
0.9966276346604215,0.9455930262549542,0.8,0.8695652173913043,0.8333333333333334,0.8130081300813008,1,0.5,0.9635273609422925,DAI,ADASYN,SVM
0.992599531615925,0.8938438873498662,0.68,0.8947368421052632,0.7727272727272727,0.7142857142857143,2,0.5,0.9370298351447937,DAI,ADASYN,SVM
0.9914754098360656,0.8974648482851808,0.88,0.7333333333333333,0.8,0.8461538461538461,3,0.5,0.9250744204524776,DAI,ADASYN,SVM
0.991288056206089,0.8492292028070367,0.88,0.7333333333333333,0.8,0.8461538461538461,4,0.5,0.9380291366747273,DAI,ADASYN,SVM
