auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,f2_mean,f2_std,n_valid_folds,coin,technique,model
0.88581859188609,0.03572410726077962,0.1268336779194759,0.11660496348580733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,USDC,WeightOnly,XGB
0.8857031058938616,0.11025148478309986,0.44523134132196573,0.49894352196198416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,USDC,ADASYN,XGB
0.860511263280889,0.1384126235330529,0.3781220948954361,0.5408241803347139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,USDC,SMOTE_05,RF
0.9599005461808102,0.038113165562685326,0.49129615496466955,0.46412386711878495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,USDC,Baseline,RF
0.7936827803592293,0.08636811208334236,0.047594902937471255,0.04671578260076262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,USDC,Baseline,XGB
0.7642237982663515,0.29506409486033197,0.419422022018822,0.5180301536299796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,USDC,WeightOnly,RF
0.902471128501943,0.1392722521949666,0.4181646612925995,0.5041424775563503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,USDC,ADASYN,RF
0.8741712204007287,0.1326876492221389,0.3922115275667326,0.32744341618989453,0.0546448087431694,0.09464758511305339,0.17543859649122806,0.30386856273138196,0.08333333333333333,0.14433756729740646,0.06337135614702154,0.10976240859118357,5,DAI,WeightOnly,XGB
0.9013156151680741,0.12102256533272665,0.297915750251699,0.24207301655864516,0.04918032786885246,0.08518282660174806,0.20689655172413793,0.35835533949700915,0.07947019867549669,0.13764642179355316,0.058027079303675046,0.10050584956879366,5,DAI,ADASYN,XGB
0.9287072914941769,0.08323910078647913,0.5624885680998789,0.4736422380794002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,DAI,SMOTE_05,RF
0.9165466136777612,0.13037833994806167,0.5461745307590932,0.41800535688759277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,DAI,Baseline,RF
0.8681729866975768,0.150399409808214,0.265018960943964,0.20002268945785892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,DAI,Baseline,XGB
0.8931188938565988,0.13465553626011365,0.2617560548286919,0.19257587390736722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,DAI,WeightOnly,RF
0.9090486835568803,0.08702593908863862,0.32722151882553474,0.2740116451619284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,DAI,ADASYN,RF
