feature,category
vol_7d_USDC,price_volatility
m2_supply,macro
high_USDC,price_volatility
lower_shadow_USDC,price_volatility
turnover_rate_USDC,price_volatility
fed_balance_sheet,macro
low_USDC,price_volatility
close_USDC,price_volatility
vol_30d_USDC,price_volatility
open_USDC,price_volatility
vol_7d_USDC_lag3,price_volatility
vol_7d_USDC_lag7,price_volatility
ma7_USDC,price_volatility
us_10y_yield,macro
vol_ma7_USDC,price_volatility
vol_share_USDC,cross_coin
usdt_usdc_spread,cross_coin
vol_share_DAI,cross_coin
gt_stablecoin,sentiment
vol_share_USDT,cross_coin
return_7d_USDC,price_volatility
ma30_USDC,price_volatility
dxy_change_7d,macro
btc_dominance,crypto_market
ma30_dev_USDC,price_volatility
yield_spread_2s10s_lag3,macro
vix,macro
return_3d_USDC,price_volatility
return_1d_USDC_lag1,price_volatility
dxy,macro
eth_fees_ratio,onchain
gt_fear_total,sentiment
credit_spread,macro
tvl_justlend_change_1d,defi
return_1d_USDC,price_volatility
tvl_compound_finance,defi
m2_change_pct,macro
credit_spread_change_7d,macro
ma7_dev_USDC,price_volatility
supply_change_USDC,onchain
volume_ratio_USDC_lag3,price_volatility
return_1d_USDC_lag3,price_volatility
gt_fear_total_lag3,sentiment
gas_price_gwei_lag7,onchain
eth_daily_fees_usd,onchain
usdt_dai_spread,cross_coin
lending_tvl_total_change_1d,defi
mcap_change_7d_USDC,price_volatility
tvl_compound_finance_change_1d,defi
gt_depeg,sentiment
gas_price_gwei_lag1,onchain
tvl_aave_change_1d,defi
eth_fees_ma7,onchain
fed_bs_change_pct,macro
yield_spread_change_7d,macro
volume_ratio_USDC,price_volatility
gt_fear_ma7,sentiment
volume_ratio_USDC_lag1,price_volatility
gas_price_gwei,onchain
gas_price_ma7,onchain
